JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457462.351,0.6,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran, Rigel low; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457463.3,0.4,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457464.3,0.4,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457464.301,1.11,,,TG,SMAI,,HD 38527,52 Ori,X15873QJ,,0,1.575,Z,5.78,5.26,2457464.301,ALF ORI,AAVSO,STD,,,,
2457464.32986,0.3,,,Vis.,MVO,,05,,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2457464.3833,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457464.6,0.2,,,Vis.,BWW,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457464.65486,0.6,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457465.2875,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457465.2930,0.456,0.008,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.47,Z,1.64,1.785,,ALF ORI,AAVSO,STD,,,,
2457465.3,0.4,,,Vis.,BNBA,,015,085,Stellarium,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457465.3,0.7,,,Vis.,SYU,,04,09,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457465.3,0.45,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457465.351,0.93,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2457465.70486,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457466.27083,0.5,,,Vis.,DABA,B,01,04,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457466.3,0.1,,,Vis.,SPAO,B,03,,680301,Moon,,,Z,,,,ALF ORI,UAI,STD,,,,
2457466.31944,0.65,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Vaticano, piazza S. Pietro. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457466.31944,0.64,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0/SIMBAD,"""Vaticano, Piazza San Pietro. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457466.35,0.65,,,Vis.,BTAD,B,01,09,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457467.286,1.03,,,TG,SMAI,,HD 38527,52 Ori,X15873QJ,,0,1.545,Z,5.78,5.26,2457467.286,ALF ORI,AAVSO,STD,,,,
2457467.29861,0.65,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0/SIMBAD,"""Lanciano, Antoniano. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457467.52083,0.5,,,Vis.,DABA,B,01,04,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457467.56250,0.3,,,Vis.,PJOF,BU,04,01,10 Star,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457467.59375,0.4,,,Vis.,MCOA,B,04,01,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457467.65417,0.6,,,Vis.,SSHA,,04,09,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457467.7960,-3.092,,,J,KCD,,BETA ORI,,13650PT,CLOUD INTERRUPTED OBS.,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457467.7960,-3.901,,,H,KCD,,BETA ORI,,13650PT,CLOUD INTERRUPTED OBS.,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457468.2583,0.5,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457468.48889,0.65,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457468.55417,0.55,,,Vis.,MDP,B,04,09,10 star 2013,,,,Z,,,,ALF ORI,RASC,STD,,,,
2457468.6,0.6,,,Vis.,LZT,BU,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457468.63542,0.4,,,Vis.,PJOF,B,04,01,10 Star,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457469.37153,0.2,,,Vis.,MVO,L,05,,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2457469.5,0.8,,,Vis.,MOW,,05,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457469.68194,0.5,,,Vis.,MCPA,B,04,09,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457470.317,0.82,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2457470.35417,0.34,,,Vis.,RJOC,,Alf Tau,Alf CMi,"web:""el cielo del me",Valladolid (Spain),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457470.53125,0.3,,,Vis.,DABA,,01,04,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457470.55903,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457471.2792,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457471.2986,0.7,,,Vis.,DXAA,B,4,9,PROCYON/ALDEBARAN,UNAIDED EYE MOON 15-DAYS,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2457471.3187,0.55,,,Vis.,BTAD,BU,01,09,10star,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457471.53958,0.3,,,Vis.,DABA,U,01,04,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457471.96806,0.7,,,Vis.,SANG,,0.4,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457472.32596,0.33,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457472.351,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran, Rigel low; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457472.59375,0.3,,,Vis.,PJOF,B,01,04,10 Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457472.59792,0.4,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457472.7890,-3.119,,,J,KCD,,BETA ORI,,13650PT,CLOUD INTERRUPTED OBS.,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457472.7890,-3.915,,,H,KCD,,BETA ORI,,13650PT,CLOUD INTERRUPTED OBS.,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457473.333,0.4,,,Vis.,SDAV,,,,ORI0708,NE,,,U,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2457473.33333,0.4,,,Vis.,SDAV,,0.8,,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457473.342,0.93,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2457473.372,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran, Rigel low; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457473.57222,0.6,,,Vis.,MDP,,04,09,10 star 2013,,,,Z,,,,ALF ORI,RASC,STD,,,,
2457473.61042,0.5,,,Vis.,BBA,U,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457474.26389,0.64,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion/Simbad,"""Lanciano, Santa Croce. Naked eye with airmass correction""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457474.2750,0.5,,,Vis.,DNO,,00,11,atlas,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457474.34,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran, Rigel low; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457474.358,0.8,,,TG,SMAI,,HD 38527,52 Ori,X15873QJ,,0,2.377,Z,5.78,5.26,2457474.357,ALF ORI,AAVSO,STD,,,,
2457474.48611,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457474.6,0.2,,,Vis.,BWW,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457475.27,0.5,,,Vis.,SBEA,,01,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457475.29,0.4,,,Vis.,KSZ,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2457475.3,0.2,,,Vis.,KBA,K,01,04,A,BRIGHT STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457475.3042,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457475.319,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran, Rigel low; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457475.65833,0.4,,,Vis.,PJOF,,04,09,10 Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457476.2,0.6,,,Vis.,WPT,,0.4,0.8,Astron Almanac,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457476.22917,0.4,,,Vis.,KMY,,Rigel,Saiph,Sebastian Otero 2001,K,,,Z,,,,ALF ORI,,STD,,,,
2457476.325,0.3,,,Vis.,GMQA,,,,SC2000,clouds about; NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457476.333333,0.3,,,Vis.,MTON,,,,SPA-TM,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457476.36458,0.3,,,Vis.,SDAV,,0.8,0.1,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457476.365,0.3,,,Vis.,SDAV,,,,ORI0708,NE,,,U,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2457476.64444,0.6,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457476.66944,0.4,,,Vis.,AAP,,04,09,AAVSO2006,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457477.326,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran, Rigel low; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457477.35,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457477.7960,-3.127,0.011,,J,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457477.7960,-3.924,0.006,,H,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457478.319,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran, Rigel low; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457478.322917,0.3,,,Vis.,MTON,,,,SPA-TM,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457478.3375,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457478.38542,0.64,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0/SIMBAD,"""Roma, Ponte Sisto. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457480.32,0.5,,,Vis.,SBEA,,01,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457480.57292,0.2,,,Vis.,PJOF,,01,04,10 Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457480.57986,0.7,,,Vis.,TDB,,05,11,3/68,,,,Z,,,,ALF ORI,RASC,STD,,,,
2457480.59236,0.6,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457481.27,0.5,,,Vis.,KSZ,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2457481.31,0.7,,,Vis.,KTZ,,01,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2457481.56319,0.4,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457481.572,0.0,,,Vis.,BGZ,,01,04,14473OH,,,,Z,,,,ALF ORI,,STD,,,,
2457481.57222,0.4,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457481.95903,0.6,,,Vis.,SANG,,0.4,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457482.32986,0.4,,,Vis.,MVO,L,01,04,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2457482.40625,0.64,,,Vis.,SGQ,,alf CMi mv=0.37,,Tirion2000.0/SIMBAD,"""Roma, via Grazioli Lante. Naked eye with airmass correction """,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457482.54792,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457482.59028,0.2,,,Vis.,PJOF,,01,04,10 Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457483.326,0.3,,,Vis.,MTON,U,,,SPA-TM,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457483.37500,0.64,,,Vis.,SGQ,,alf CMi mv=0.37,,Tirion2000.0/SIMBAD,"""Roma, via della Giuliana. Naked eye with airmass correction""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457483.58819,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457483.60069,0.4,,,Vis.,PJOF,,01,04,10 Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457483.8180,-3.107,0.005,,J,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457483.8180,-3.921,0.010,,H,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457484.326,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457484.351,0.3,,,Vis.,GMQA,,,,SC2000,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457484.5,0.7,,,Vis.,MOW,,05,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457484.55833,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457485.296,0.91,,,TG,SMAI,,HD 38527,52 Ori,X15873QJ,,0,1.935,Z,5.78,5.26,2457485.294,alf Ori,AAVSO,STD,,,,
2457485.326,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457486.3,0.45,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457486.3125,0.8,,,Vis.,DXAA,B,4,9,PROCYON/ALDEBARAN,UNAIDED EYE TWILIGHT,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2457486.32014,0.3,,,Vis.,MVO,L,04,,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2457486.326,0.85,,,TG,SMAI,,HD 38527,52 Ori,X15873QJ,,0,2.390,Z,5.78,5.26,2457486.324,ALF ORI,AAVSO,STD,,,,
2457486.3292,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457486.56389,0.3,,,Vis.,MCPA,,01,09,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457487.31,0.4,,,Vis.,SBEA,,01,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457487.396,0.3,,,Vis.,KMR,,,,None,"""A=Rigel, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457487.57778,0.7,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457488.56806,0.6,,,Vis.,MDP,,04,09,10 star 2013,,,,Z,,,,ALF ORI,RASC,STD,,,,
2457488.67014,0.5,,,Vis.,AAP,,04,09,AAVSO2006,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457489.31181,0.4,,,Vis.,MVO,,04,,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2457489.3458,0.3,,,Vis.,SRAB,,04,09,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457490.27083,0.34,,,Vis.,SGQ,,alf CMi mv=0.37,,Tirion2000.0/SIMBAD,"""Roma, via Innocenzo X. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457490.62222,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457491.60556,0.7,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457491.7810,-3.171,0.012,,J,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457491.7810,-3.954,0.006,,H,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457492.5,0.8,,,Vis.,SHS,,11,05,sa1965,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457492.51875,0.60,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457493.29167,0.34,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Roma, via della Giuliana. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457493.55000,0.3,,,Vis.,MDP,B,04,01,10 star 2013,moon close,,,Z,,,,ALF ORI,RASC,STD,,,,
2457493.56944,0.4,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457494.29167,0.35,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Padova, Guizza. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457494.5,0.7,,,Vis.,MOW,,05,11,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457494.6,0.5,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457495.29167,0.34,,,Vis.,SGQ,U,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Padova, via Adriatica. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457495.313,0.85,,,TG,SMAI,,HD 38527,52 Ori,X15873QJ,,0,2.618,Z,5.78,5.26,2457495.310,ALF ORI,AAVSO,STD,,,,
2457495.356,0.1,,,Vis.,GMQA,B,,,SC2000,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457495.95556,0.6,,,Vis.,SANG,,0.4,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457496.31,0.5,,,Vis.,SBEA,,01,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457496.336,0.1,,,Vis.,KMR,,,,None,"""C=Procyon, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457496.53819,0.5,,,Vis.,DMPA,BL,04,09,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457496.57,2.06,0.01,,B,UIS01,,SAO 112958,SAO 113186,AAVSO_PEPV,Eric Schlaf assisting,0,1.71,Z,5.04,7.25,,alf Ori,,STD,,,,
2457496.57,0.28,0.02,,V,UIS01,,SAO 112958,SAO 113186,AAVSO_PEPV,Eric Schlaf assisting,0,1.65,Z,4.08,5.958,,alf Ori,,STD,,,,
2457496.7830,-3.091,0.008,,J,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457496.7830,-3.9,0.012,,H,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457499.52500,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457501.29167,0.35,,,Vis.,SGQ,U,alf CMi mv=0.37,,Tirion2000.0/Simbad,"""Padova, via Salgari. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457501.3,0.6,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457501.57083,0.4,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457501.59167,0.4,,,Vis.,MCOA,L,04,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457502.32292,0.33,,,Vis.,RJOC,,Alf Tau,Alf CMi,"web:""el cielo del me",Madrid (Spain)  Airmass correction: 0.05 (with Aldebaran) ,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457502.5486,0.8,,,Vis.,KGT,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457502.7590,-3.17,0.036,,J,KCD,,BETA ORI,,13650PT,LOW ALTITUDE,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457502.7590,-3.971,0.004,,H,KCD,,BETA ORI,,13650PT,LOW ALTITUDE,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457503.33,0.1,,,Vis.,KMR,,,,None,"""C=Procyon, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457504.33,0.5,,,Vis.,KMR,,,,None,"""C=Procyon, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457511.336,0.5,,,Vis.,KMR,,,,None,"""C=Procyon, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457511.6,0.5,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457512.336,0.5,,,Vis.,KMR,,,,None,"""C=Procyon, B=Aldebaran; NE""",,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457512.57292,0.4,,,Vis.,CKB,,05,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457592.92986,0.3,,,Vis.,MCOA,BL,01,09,10 Star Tutorial,Close to horizon at dawn. Star 09 (Aldebaran) used to estimate extinction. ,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457592.94444,0.3,,,Vis.,CKB,,01,17,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457598.91528,0.3,,,Vis.,MCOA,L,01,16,10 Star Tutorial,"""Low in sky. Aldebaran behind moon, use Bellatrix instead.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457600.9,0.5,,,Vis.,LZT,BL,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457602.91181,0.3,,,Vis.,MCOA,,01,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457602.95347,0.3,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457607.67708,0.41,,,Vis.,RJOC,,Alf Tau,,skymap.org,Valladolid (Spain). Airmass correction,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457607.94375,0.3,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457612.8756,0.1,,,Vis.,DMA,,01,04,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457614.57083,0.42,,,Vis.,SGQ,L,alf Tau mv=0.85,alf PsA mv=1.15,Tirion2000.0/Simbad,"""Lanciano, Santa Croce. Naked eye with airmass correction.""",,,Z,,,,alf Ori,AAVSO,STD,,,,
2457614.58125,0.42,,,Vis.,SGQ,L,alf Tau mv=0.85,alf PsA mv=1.15,Tirion2000.0/Simbad,"""Lanciano, Santa Croce. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457614.6563,0.41,,,Vis.,DXAA,,1,12,RIGEL/POLLUX,UNAIDED EYE,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2457617.9,0.5,,,Vis.,MOW,,03,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457618.65278,0.42,,,Vis.,RJOC,,Alf Tau,,skymap.org,Valladolid (Spain). Airmass correction,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457621.93750,0.1,,,Vis.,MCOA,,01,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457624.64722,0.44,,,Vis.,SGQ,B,alf Tau mv=0.86,,Tiron2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457624.94444,0.3,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457626.6389,0.7,,,Vis.,BSR,B,0.5,1.1,SA1968,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457627.6,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457628.60417,0.5,,,Vis.,RJOC,,Alf Tau,,skymap.org,Valladolid (Spain) Airmass correction,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457629.68,0.8,,,Vis.,KTZ,,08,,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2457629.9,0.5,,,Vis.,MOW,,03,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457630.632,0.5,,,Vis.,HXT,,,,SPA-TM,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457631.60,0.3,,,Vis.,KSZ,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2457632.6,0.9,,,Vis.,BNW,,03,11,3-1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
